frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
0,0.000000,6.000000,0.000383,0.000000
1,0.041667,6.041667,0.001459,0.021369
2,0.083333,6.083333,0.002536,0.026395
3,0.125000,6.125000,0.005184,0.048756
4,0.166667,6.166667,0.014037,0.203314
5,0.208333,6.208333,0.024072,0.237996
6,0.250000,6.250000,0.036412,0.009820
7,0.291667,6.291667,0.077247,0.006863
8,0.333333,6.333333,0.168590,0.141799
9,0.375000,6.375000,0.351187,0.021403
10,0.416667,6.416667,0.747783,0.001181
11,0.458333,6.458333,0.644223,0.045021
12,0.500000,6.500000,0.544888,0.284617
13,0.541667,6.541667,0.450174,0.089860
14,0.583333,6.583333,0.373594,0.008727
15,0.625000,6.625000,0.311561,0.002990
16,0.666667,6.666667,0.259952,0.003021
17,0.708333,6.708333,0.223447,0.221472
18,0.750000,6.750000,0.185097,0.140604
19,0.791667,6.791667,0.180908,1.000000
20,0.833333,6.833333,0.126078,0.005850
21,0.875000,6.875000,0.105041,0.000000
22,0.916667,6.916667,0.144867,0.041165
23,0.958333,6.958333,0.306607,0.007536
24,1.000000,7.000000,0.653541,0.000000
25,1.041667,7.041667,0.890376,0.031956
26,1.083333,7.083333,0.772043,1.000000
27,1.125000,7.125000,0.624739,0.188357
28,1.166667,7.166667,0.516507,0.000000
29,1.208333,7.208333,0.431065,0.004732
30,1.250000,7.250000,0.360202,0.022726
31,1.291667,7.291667,0.300278,0.010989
32,1.333333,7.333333,0.250401,0.005122
33,1.375000,7.375000,0.209011,0.007632
34,1.416667,7.416667,0.185445,0.375259
35,1.458333,7.458333,0.145874,0.018313
36,1.500000,7.500000,0.121245,0.000000
37,1.541667,7.541667,0.196116,0.034488
38,1.583333,7.583333,0.420048,0.130636
39,1.625000,7.625000,0.887644,0.000000
40,1.666667,7.666667,0.755767,0.261998
41,1.708333,7.708333,0.640960,0.565972
42,1.750000,7.750000,0.520632,0.001466
43,1.791667,7.791667,0.434328,0.000000
44,1.833333,7.833333,0.362406,0.001484
45,1.875000,7.875000,0.304421,0.070076
46,1.916667,7.916667,0.253319,0.036448
47,1.958333,7.958333,0.210668,0.007860
48,2.000000,8.000000,0.178175,0.087041
49,2.041667,8.041667,0.150969,0.149864
50,2.083333,8.083333,0.122370,0.005559
51,2.125000,8.125000,0.131714,0.002518
52,2.166667,8.166667,0.280799,0.000000
53,2.208333,8.208333,0.598971,0.000000
54,2.250000,8.250000,0.799409,0.018423
55,2.291667,8.291667,0.680588,0.469998
56,2.333333,8.333333,0.556925,0.029107
57,2.375000,8.375000,0.463916,0.000000
58,2.416667,8.416667,0.387046,0.000000
59,2.458333,8.458333,0.322913,0.000000
60,2.500000,8.500000,0.269414,0.000230
61,2.541667,8.541667,0.224849,0.002735
62,2.583333,8.583333,0.187732,0.006954
63,2.625000,8.625000,0.186452,1.000000
64,2.666667,8.666667,0.151749,0.707372
65,2.708333,8.708333,0.111912,0.100407
66,2.750000,8.750000,0.188404,0.799162
67,2.791667,8.791667,0.350744,0.000000
68,2.833333,8.833333,0.743680,0.106484
69,2.875000,8.875000,0.617789,0.000000
70,2.916667,8.916667,0.515423,0.000000
71,2.958333,8.958333,0.430018,0.000000
72,3.000000,9.000000,0.358918,0.005079
73,3.041667,9.041667,0.326384,0.902163
74,3.083333,9.083333,0.255174,0.181711
75,3.125000,9.125000,0.208344,0.000000
76,3.166667,9.166667,0.203822,1.000000
77,3.208333,9.208333,0.159066,0.468191
78,3.250000,9.250000,0.120990,0.000000
79,3.291667,9.291667,0.105820,0.162584
80,3.333333,9.333333,0.175777,0.912957
81,3.375000,9.375000,0.317768,0.041401
82,3.416667,9.416667,0.675181,0.000000
83,3.458333,9.458333,0.906352,0.794531
84,3.500000,9.500000,0.764355,0.935644
85,3.541667,9.541667,0.614285,0.000000
86,3.583333,9.583333,0.512499,0.000000
87,3.625000,9.625000,0.437715,0.337848
88,3.666667,9.666667,0.362502,0.192380
89,3.708333,9.708333,0.297621,0.000000
90,3.750000,9.750000,0.253095,0.159638
91,3.791667,9.791667,0.237162,1.000000
92,3.833333,9.833333,0.178455,0.187316
93,3.875000,9.875000,0.144197,0.000000
94,3.916667,9.916667,0.121839,0.051175
95,3.958333,9.958333,0.220093,0.117521
96,4.000000,10.000000,0.462096,0.004559
97,4.041667,10.041667,0.956889,0.036104
98,4.083333,10.083333,0.817032,0.653373
99,4.125000,10.125000,0.668730,0.114380
100,4.166667,10.166667,0.555617,0.018562
101,4.208333,10.208333,0.463150,0.002082
102,4.250000,10.250000,0.387738,0.046090
103,4.291667,10.291667,0.322755,0.013915
104,4.333333,10.333333,0.268997,0.002344
105,4.375000,10.375000,0.228649,0.142775
106,4.416667,10.416667,0.199569,0.412665
107,4.458333,10.458333,0.161802,0.187648
108,4.500000,10.500000,0.130295,0.000000
109,4.541667,10.541667,0.133176,0.010288
110,4.583333,10.583333,0.284038,0.020649
111,4.625000,10.625000,0.604754,0.006508
112,4.666667,10.666667,0.778103,0.122498
113,4.708333,10.708333,0.656600,0.349761
114,4.750000,10.750000,0.539049,0.000000
115,4.791667,10.791667,0.449729,0.000000
116,4.833333,10.833333,0.375242,0.001055
117,4.875000,10.875000,0.313080,0.001382
118,4.916667,10.916667,0.261169,0.000000
119,4.958333,10.958333,0.225019,0.237507
120,5.000000,11.000000,0.201940,0.671695
121,5.041667,11.041667,0.156102,0.147806
122,5.083333,11.083333,0.126536,0.000000
123,5.125000,11.125000,0.110815,0.174843
124,5.166667,11.166667,0.218149,0.063425
125,5.208333,11.208333,0.463692,0.080569
126,5.250000,11.250000,0.952661,0.577669
127,5.291667,11.291667,0.788015,0.255538
128,5.333333,11.333333,0.660082,0.301151
129,5.375000,11.375000,0.544123,0.031754
130,5.416667,11.416667,0.453168,0.000000
131,5.458333,11.458333,0.379430,0.045018
132,5.500000,11.500000,0.325043,0.320362
133,5.541667,11.541667,0.265887,0.090707
134,5.583333,11.583333,0.235075,0.517162
135,5.625000,11.625000,0.183455,0.009182
136,5.666667,11.666667,0.152827,0.000000
137,5.708333,11.708333,0.127504,0.000000
138,5.750000,11.750000,0.153301,0.000000
139,5.791667,11.791667,0.327007,0.000000
140,5.833333,11.833333,0.720289,0.758370
141,5.875000,11.875000,0.897413,0.724824
142,5.916667,11.916667,0.738834,0.275409
143,5.958333,11.958333,0.609518,0.000000
144,6.000000,12.000000,0.508522,0.000000
145,6.041667,12.041667,0.425158,0.029872
146,6.083333,12.083333,0.353999,0.001222
147,6.125000,12.125000,0.296075,0.025452
148,6.166667,12.166667,0.246379,0.000000
149,6.208333,12.208333,0.213435,0.262684
150,6.250000,12.250000,0.179375,0.262674
151,6.291667,12.291667,0.143789,0.023686
152,6.333333,12.333333,0.119409,0.001292
153,6.375000,12.375000,0.217018,0.015742
154,6.416667,12.416667,0.461967,0.001796
155,6.458333,12.458333,0.922194,0.143067
156,6.500000,12.500000,0.783183,0.579201
157,6.541667,12.541667,0.642972,0.135230
158,6.583333,12.583333,0.533050,0.000061
159,6.625000,12.625000,0.444757,0.001135
160,6.666667,12.666667,0.371521,0.016225
161,6.708333,12.708333,0.309693,0.004633
162,6.750000,12.750000,0.259454,0.039737
163,6.791667,12.791667,0.215555,0.002872
164,6.833333,12.833333,0.180047,0.009374
165,6.875000,12.875000,0.150500,0.017372
166,6.916667,12.916667,0.125171,0.001439
167,6.958333,12.958333,0.155910,0.003095
168,7.000000,13.000000,0.332374,0.000000
169,7.041667,13.041667,0.708986,0.000000
170,7.083333,13.083333,0.892998,0.691055
171,7.125000,13.125000,0.732223,0.149632
172,7.166667,13.166667,0.607150,0.000000
173,7.208333,13.208333,0.506547,0.000000
174,7.250000,13.250000,0.422613,0.000000
175,7.291667,13.291667,0.352587,0.000000
176,7.333333,13.333333,0.294182,0.000594
177,7.375000,13.375000,0.245947,0.017510
178,7.416667,13.416667,0.204823,0.002245
179,7.458333,13.458333,0.170831,0.000098
180,7.500000,13.500000,0.167499,0.832531
181,7.541667,13.541667,0.148907,1.000000
182,7.583333,13.583333,0.165192,0.000000
183,7.625000,13.625000,0.352370,0.000000
184,7.666667,13.666667,0.686238,0.000000
185,7.708333,13.708333,0.572530,0.000000
186,7.750000,13.750000,0.477663,0.000000
187,7.791667,13.791667,0.398515,0.000000
188,7.833333,13.833333,0.332517,0.001173
189,7.875000,13.875000,0.277397,0.000220
190,7.916667,13.916667,0.231428,0.000005
191,7.958333,13.958333,0.223081,1.000000
192,8.000000,14.000000,0.191088,1.000000
193,8.041667,14.041667,0.134396,0.000000
194,8.083333,14.083333,0.112127,0.000000
195,8.125000,14.125000,0.093548,0.000000
196,8.166667,14.166667,0.158375,0.000000
197,8.208333,14.208333,0.337829,0.000000
198,8.250000,14.250000,0.750622,1.000000
199,8.291667,14.291667,0.898877,1.000000
200,8.333333,14.333333,0.726758,0.061732
201,8.375000,14.375000,0.604791,0.000000
202,8.416667,14.416667,0.513102,0.284107
203,8.458333,14.458333,0.433915,0.431457
204,8.500000,14.500000,0.351217,0.000000
205,8.541667,14.541667,0.311201,0.605984
206,8.583333,14.583333,0.258111,0.454763
207,8.625000,14.625000,0.203961,0.000000
208,8.666667,14.666667,0.177539,0.245819
209,8.708333,14.708333,0.156288,0.477321
210,8.750000,14.750000,0.122051,0.120201
211,8.791667,14.791667,0.233203,0.000000
212,8.833333,14.833333,0.515585,0.604683
213,8.875000,14.875000,0.965051,0.521690
214,8.916667,14.916667,0.795621,0.117779
215,8.958333,14.958333,0.660840,0.000000
216,9.000000,15.000000,0.552786,0.048183
217,9.041667,15.041667,0.463022,0.101250
218,9.083333,15.083333,0.384196,0.014327
219,9.125000,15.125000,0.320275,0.003250
220,9.166667,15.166667,0.271028,0.130104
221,9.208333,15.208333,0.233250,0.346232
222,9.250000,15.250000,0.188343,0.080289
223,9.291667,15.291667,0.155126,0.000000
224,9.333333,15.333333,0.130250,0.027610
225,9.375000,15.375000,0.135079,0.013514
226,9.416667,15.416667,0.287667,0.013137
227,9.458333,15.458333,0.615493,0.090429
228,9.500000,15.500000,0.732571,0.283066
229,9.541667,15.541667,0.604329,0.007623
230,9.583333,15.583333,0.504003,0.000000
231,9.625000,15.625000,0.420491,0.000000
232,9.666667,15.666667,0.350816,0.000000
233,9.708333,15.708333,0.292944,0.008562
234,9.750000,15.750000,0.245664,0.049150
235,9.791667,15.791667,0.216460,0.424398
236,9.833333,15.833333,0.178770,0.293323
237,9.875000,15.875000,0.141807,0.000000
238,9.916667,15.916667,0.120515,0.073503
239,9.958333,15.958333,0.115478,0.145280
240,10.000000,16.000000,0.237030,0.000000
241,10.041667,16.041667,0.515864,0.341856
242,10.083333,16.083333,0.971172,0.848676
243,10.125000,16.125000,0.796313,0.243431
244,10.166667,16.166667,0.658273,0.000000
245,10.208333,16.208333,0.549247,0.001605
246,10.250000,16.250000,0.458661,0.015456
247,10.291667,16.291667,0.382590,0.010491
248,10.333333,16.333333,0.319673,0.024648
249,10.375000,16.375000,0.270457,0.145666
250,10.416667,16.416667,0.225205,0.106940
251,10.458333,16.458333,0.186124,0.030380
252,10.500000,16.500000,0.154888,0.012159
253,10.541667,16.541667,0.129086,0.005566
254,10.583333,16.583333,0.158329,0.000000
255,10.625000,16.625000,0.350012,0.409350
256,10.666667,16.666667,0.732873,0.415295
257,10.708333,16.708333,0.842306,0.268105
258,10.750000,16.750000,0.696028,0.000000
259,10.791667,16.791667,0.580698,0.000000
260,10.833333,16.833333,0.484477,0.000000
261,10.875000,16.875000,0.404229,0.000946
262,10.916667,16.916667,0.337315,0.002998
263,10.958333,16.958333,0.281382,0.001121
264,11.000000,17.000000,0.235656,0.030905
265,11.041667,17.041667,0.195910,0.002491
266,11.083333,17.083333,0.163865,0.015967
267,11.125000,17.125000,0.136986,0.022432
268,11.166667,17.166667,0.113822,0.003180
269,11.208333,17.208333,0.211846,0.012899
270,11.250000,17.250000,0.454833,0.125670
271,11.291667,17.291667,0.838522,0.389398
272,11.333333,17.333333,0.691098,0.042120
273,11.375000,17.375000,0.575530,0.000000
274,11.416667,17.416667,0.480169,0.000098
275,11.458333,17.458333,0.400855,0.008378
276,11.500000,17.500000,0.334905,0.022662
277,11.541667,17.541667,0.278845,0.000000
278,11.583333,17.583333,0.232989,0.011609
279,11.625000,17.625000,0.194131,0.001265
280,11.666667,17.666667,0.162227,0.009841
281,11.708333,17.708333,0.135854,0.025130
282,11.750000,17.750000,0.113061,0.011539
283,11.791667,17.791667,0.166316,0.000405
284,11.833333,17.833333,0.355808,0.035504
285,11.875000,17.875000,0.784627,0.930843
286,11.916667,17.916667,0.869782,0.366557
287,11.958333,17.958333,0.716487,0.000000
288,12.000000,18.000000,0.597767,0.000000
289,12.041667,18.041667,0.499391,0.022440
290,12.083333,18.083333,0.416586,0.016816
291,12.125000,18.125000,0.347138,0.000000
292,12.166667,18.166667,0.290089,0.015707
293,12.208333,18.208333,0.241835,0.006863
294,12.250000,18.250000,0.201592,0.000000
295,12.291667,18.291667,0.175470,0.242738
296,12.333333,18.333333,0.170320,1.000000
297,12.375000,18.375000,0.117520,0.015015
298,12.416667,18.416667,0.209406,0.000000
299,12.458333,18.458333,0.450906,0.140719
300,12.500000,18.500000,0.812328,0.329465
301,12.541667,18.541667,0.671504,0.067440
302,12.583333,18.583333,0.558561,0.000390
303,12.625000,18.625000,0.475125,0.304200
304,12.666667,18.666667,0.401439,0.421846
305,12.708333,18.708333,0.324363,0.000000
306,12.750000,18.750000,0.272414,0.059901
307,12.791667,18.791667,0.241265,0.516278
308,12.833333,18.833333,0.188366,0.000000
309,12.875000,18.875000,0.157154,0.000000
310,12.916667,18.916667,0.152869,0.725162
311,12.958333,18.958333,0.120936,0.384902
312,13.000000,19.000000,0.169122,0.002859
313,13.041667,19.041667,0.364101,0.117651
314,13.083333,19.083333,0.799134,1.000000
315,13.125000,19.125000,0.858968,0.117422
316,13.166667,19.166667,0.713700,0.000000
317,13.208333,19.208333,0.596728,0.042884
318,13.250000,19.250000,0.507393,0.353829
319,13.291667,19.291667,0.414463,0.000000
320,13.333333,19.333333,0.346431,0.021432
321,13.375000,19.375000,0.318492,1.000000
322,13.416667,19.416667,0.247615,0.230871
323,13.458333,19.458333,0.200927,0.003985
324,13.500000,19.500000,0.167535,0.000037
325,13.541667,19.541667,0.140615,0.028018
326,13.583333,19.583333,0.118330,0.057214
327,13.625000,19.625000,0.204791,0.008853
328,13.666667,19.666667,0.442758,0.216151
329,13.708333,19.708333,0.772027,0.131188
330,13.750000,19.750000,0.640820,0.000000
331,13.791667,19.791667,0.534824,0.006192
332,13.833333,19.833333,0.446223,0.005779
333,13.875000,19.875000,0.372265,0.004165
334,13.916667,19.916667,0.310477,0.000000
335,13.958333,19.958333,0.259079,0.001576
336,14.000000,20.000000,0.227520,0.380305
337,14.041667,20.041667,0.184663,0.145357
338,14.083333,20.083333,0.150426,0.000000
339,14.125000,20.125000,0.126524,0.034082
340,14.166667,20.166667,0.106561,0.061823
341,14.208333,20.208333,0.150703,0.000000
342,14.250000,20.250000,0.322367,0.030081
343,14.291667,20.291667,0.697365,0.388331
344,14.333333,20.333333,0.748543,0.036934
345,14.375000,20.375000,0.623587,0.000000
346,14.416667,20.416667,0.520516,0.008531
347,14.458333,20.458333,0.434320,0.008853
348,14.500000,20.500000,0.362634,0.016714
349,14.541667,20.541667,0.302128,0.000000
350,14.583333,20.583333,0.254678,0.087065
351,14.625000,20.625000,0.215335,0.167856
352,14.666667,20.666667,0.176440,0.032890
353,14.708333,20.708333,0.153381,0.233346
354,14.750000,20.750000,0.132422,0.343183
355,14.791667,20.791667,0.102025,0.004509
356,14.833333,20.833333,0.196486,0.000672
357,14.875000,20.875000,0.420072,0.033054
358,14.916667,20.916667,0.726937,0.128337
359,14.958333,20.958333,0.605072,0.059970
360,15.000000,21.000000,0.503312,0.000000
361,15.041667,21.041667,0.419994,0.002646
362,15.083333,21.083333,0.350406,0.002355
363,15.125000,21.125000,0.292653,0.012241
364,15.166667,21.166667,0.255645,0.393026
365,15.208333,21.208333,0.210335,0.229552
366,15.250000,21.250000,0.169738,0.000000
367,15.291667,21.291667,0.141629,0.000541
368,15.333333,21.333333,0.119632,0.049467
369,15.375000,21.375000,0.098571,0.000000
370,15.416667,21.416667,0.174650,0.000664
371,15.458333,21.458333,0.388488,0.532789
372,15.500000,21.500000,0.823364,0.959206
373,15.541667,21.541667,0.849103,0.009734
374,15.583333,21.583333,0.708165,0.000000
375,15.625000,21.625000,0.591061,0.007922
376,15.666667,21.666667,0.493216,0.009694
377,15.708333,21.708333,0.411249,0.000000
378,15.750000,21.750000,0.346455,0.111626
379,15.791667,21.791667,0.316254,1.000000
380,15.833333,21.833333,0.245203,0.212682
381,15.875000,21.875000,0.199250,0.000000
382,15.916667,21.916667,0.166235,0.000000
383,15.958333,21.958333,0.138690,0.000000
384,16.000000,22.000000,0.120555,0.000255
385,16.041667,22.041667,0.270092,0.431746
386,16.083333,22.083333,0.576924,0.947363
387,16.125000,22.125000,0.928314,0.027985
388,16.166667,22.166667,0.773794,0.000000
389,16.208333,22.208333,0.645588,0.000322
390,16.250000,22.250000,0.538992,0.012799
391,16.291667,22.291667,0.455020,0.188626
392,16.333333,22.333333,0.376174,0.042342
393,16.375000,22.375000,0.313498,0.023843
394,16.416667,22.416667,0.270054,0.303298
395,16.458333,22.458333,0.221962,0.141537
396,16.500000,22.500000,0.181641,0.000000
397,16.541667,22.541667,0.151846,0.010093
398,16.583333,22.583333,0.127196,0.025431
399,16.625000,22.625000,0.177500,0.000000
400,16.666667,22.666667,0.392761,0.471210
401,16.708333,22.708333,0.830172,0.750952
402,16.750000,22.750000,0.845510,0.000000
403,16.791667,22.791667,0.705416,0.000173
404,16.833333,22.833333,0.588526,0.000000
405,16.875000,22.875000,0.491008,0.000000
406,16.916667,22.916667,0.409736,0.002887
407,16.958333,22.958333,0.343159,0.046237
408,17.000000,23.000000,0.291337,0.206551
409,17.041667,23.041667,0.243171,0.175929
410,17.083333,23.083333,0.198475,0.000000
411,17.125000,23.125000,0.171394,0.193534
412,17.166667,23.166667,0.139893,0.058072
413,17.208333,23.208333,0.115373,0.003798
414,17.250000,23.250000,0.228392,0.002120
415,17.291667,23.291667,0.496594,0.318261
416,17.333333,23.333333,0.811856,0.158214
417,17.375000,23.375000,0.673404,0.001015
418,17.416667,23.416667,0.561879,0.002739
419,17.458333,23.458333,0.469412,0.023458
420,17.500000,23.500000,0.391365,0.010663
421,17.541667,23.541667,0.326250,0.000000
422,17.583333,23.583333,0.278880,0.222975
423,17.625000,23.625000,0.227544,0.015150
424,17.666667,23.666667,0.189461,0.000000
425,17.708333,23.708333,0.158611,0.018109
426,17.750000,23.750000,0.132568,0.023036
427,17.791667,23.791667,0.111627,0.053418
428,17.833333,23.833333,0.171398,0.008935
429,17.875000,23.875000,0.377235,0.406561
430,17.916667,23.916667,0.787671,0.300299
431,17.958333,23.958333,0.798891,0.000000
432,18.000000,24.000000,0.667918,0.046705
433,18.041667,24.041667,0.572328,0.541720
434,18.083333,24.083333,0.463988,0.001729
435,18.125000,24.125000,0.387119,0.001876
436,18.166667,24.166667,0.338619,0.523038
437,18.208333,24.208333,0.283458,0.467970
438,18.250000,24.250000,0.225618,0.028026
439,18.291667,24.291667,0.187535,0.000084
440,18.333333,24.333333,0.156467,0.000289
441,18.375000,24.375000,0.130673,0.004641
442,18.416667,24.416667,0.113239,0.144482
443,18.458333,24.458333,0.227898,0.319940
444,18.500000,24.500000,0.470790,0.171151
445,18.541667,24.541667,0.762216,0.198788
446,18.583333,24.583333,0.631629,0.022852
447,18.625000,24.625000,0.526398,0.000000
448,18.666667,24.666667,0.439243,0.002267
449,18.708333,24.708333,0.366557,0.005095
450,18.750000,24.750000,0.306255,0.018778
451,18.791667,24.791667,0.255608,0.018928
452,18.833333,24.833333,0.213432,0.021727
453,18.875000,24.875000,0.180543,0.100674
454,18.916667,24.916667,0.151351,0.108102
455,18.958333,24.958333,0.123899,0.011074
456,19.000000,25.000000,0.103918,0.027542
457,19.041667,25.041667,0.147873,0.006872
458,19.083333,25.083333,0.316387,0.046628
459,19.125000,25.125000,0.677677,0.192563
460,19.166667,25.166667,0.676563,0.032943
461,19.208333,25.208333,0.564306,0.022414
462,19.250000,25.250000,0.470241,0.000000
463,19.291667,25.291667,0.392323,0.000000
464,19.333333,25.333333,0.328379,0.035447
465,19.375000,25.375000,0.273253,0.005766
466,19.416667,25.416667,0.228353,0.017370
467,19.458333,25.458333,0.190899,0.027299
468,19.500000,25.500000,0.159452,0.028901
469,19.541667,25.541667,0.132481,0.005784
470,19.583333,25.583333,0.110463,0.002630
471,19.625000,25.625000,0.093128,0.034473
472,19.666667,25.666667,0.195981,0.009359
473,19.708333,25.708333,0.417515,0.002195
474,19.750000,25.750000,0.664409,0.000000
475,19.791667,25.791667,0.554318,0.000000
476,19.833333,25.833333,0.462598,0.004306
477,19.875000,25.875000,0.387528,0.056309
478,19.916667,25.916667,0.322273,0.012239
479,19.958333,25.958333,0.268761,0.006482
480,20.000000,26.000000,0.224090,0.000784
481,20.041667,26.041667,0.186984,0.001512
482,20.083333,26.083333,0.155963,0.000000
483,20.125000,26.125000,0.131304,0.039451
484,20.166667,26.166667,0.108767,0.006915
485,20.208333,26.208333,0.090632,0.002018
486,20.250000,26.250000,0.188505,0.076966
487,20.291667,26.291667,0.416343,0.638952
488,20.333333,26.333333,0.854024,0.227096
489,20.375000,26.375000,0.834834,0.000000
490,20.416667,26.416667,0.696638,0.004482
491,20.458333,26.458333,0.581095,0.000014
492,20.500000,26.500000,0.484857,0.001599
493,20.541667,26.541667,0.404555,0.002603
494,20.583333,26.583333,0.338478,0.034069
495,20.625000,26.625000,0.285417,0.129208
496,20.666667,26.666667,0.235700,0.026999
497,20.708333,26.708333,0.195969,0.000000
498,20.750000,26.750000,0.164217,0.023987
499,20.791667,26.791667,0.137034,0.020907
500,20.833333,26.833333,0.113804,0.000000
501,20.875000,26.875000,0.237491,0.168225
502,20.916667,26.916667,0.504370,0.284801
503,20.958333,26.958333,0.774233,0.027959
504,21.000000,27.000000,0.645309,0.002141
505,21.041667,27.041667,0.538390,0.002028
506,21.083333,27.083333,0.450151,0.034073
507,21.125000,27.125000,0.374868,0.005294
508,21.166667,27.166667,0.312954,0.011105
509,21.208333,27.208333,0.261098,0.009240
510,21.250000,27.250000,0.217618,0.000507
511,21.291667,27.291667,0.181772,0.007510
512,21.333333,27.333333,0.152607,0.038088
513,21.375000,27.375000,0.126866,0.016621
514,21.416667,27.416667,0.106211,0.026073
515,21.458333,27.458333,0.138764,0.001394
516,21.500000,27.500000,0.296591,0.022754
517,21.541667,27.541667,0.631824,0.020700
518,21.583333,27.583333,0.610225,0.022164
519,21.625000,27.625000,0.509649,0.036399
520,21.666667,27.666667,0.425143,0.028404
521,21.708333,27.708333,0.354110,0.004101
522,21.750000,27.750000,0.295748,0.013872
523,21.791667,27.791667,0.246436,0.001323
524,21.833333,27.833333,0.207321,0.058411
525,21.875000,27.875000,0.171706,0.006649
526,21.916667,27.916667,0.143194,0.003537
527,21.958333,27.958333,0.121499,0.070676
528,22.000000,28.000000,0.100170,0.019071
529,22.041667,28.041667,0.097171,0.002318
530,22.083333,28.083333,0.208497,0.045684
531,22.125000,28.125000,0.442443,0.020700
532,22.166667,28.166667,0.675545,0.004962
533,22.208333,28.208333,0.564238,0.025141
534,22.250000,28.250000,0.471645,0.050966
535,22.291667,28.291667,0.392313,0.003138
536,22.333333,28.333333,0.327461,0.007732
537,22.375000,28.375000,0.273341,0.011090
538,22.416667,28.416667,0.229840,0.068968
539,22.458333,28.458333,0.190348,0.010586
540,22.500000,28.500000,0.158573,0.001002
541,22.541667,28.541667,0.132968,0.023184
542,22.583333,28.583333,0.111129,0.025790
543,22.625000,28.625000,0.092157,0.002908
544,22.666667,28.666667,0.146684,0.000000
545,22.708333,28.708333,0.313069,0.005919
546,22.750000,28.750000,0.670474,0.101564
547,22.791667,28.791667,0.634147,0.082981
548,22.833333,28.833333,0.527359,0.012198
549,22.875000,28.875000,0.439693,0.000719
550,22.916667,28.916667,0.366979,0.005320
551,22.958333,28.958333,0.306271,0.007754
552,23.000000,29.000000,0.256087,0.025306
553,23.041667,29.041667,0.213041,0.000651
554,23.083333,29.083333,0.178721,0.033240
555,23.125000,29.125000,0.154290,0.200492
556,23.166667,29.166667,0.124985,0.042598
557,23.208333,29.208333,0.103209,0.000000
558,23.250000,29.250000,0.102107,0.023940
559,23.291667,29.291667,0.220875,0.153424
560,23.333333,29.333333,0.461401,0.002332
561,23.375000,29.375000,0.691120,0.000000
562,23.416667,29.416667,0.576603,0.000000
563,23.458333,29.458333,0.481061,0.000000
564,23.500000,29.500000,0.401351,0.000000
565,23.541667,29.541667,0.335983,0.037832
566,23.583333,29.583333,0.297912,0.618266
567,23.625000,29.625000,0.233412,0.011255
568,23.666667,29.666667,0.194454,0.000000
569,23.708333,29.708333,0.162723,0.016309
570,23.750000,29.750000,0.135384,0.001074
571,23.791667,29.791667,0.113557,0.021082
572,23.833333,29.833333,0.094213,0.000000
573,23.875000,29.875000,0.218158,0.747972
574,23.916667,29.916667,0.425022,0.251158
575,23.958333,29.958333,0.890541,0.000000
576,24.000000,30.000000,0.825983,0.000000
577,24.041667,30.041667,0.689977,0.028569
578,24.083333,30.083333,0.576551,0.053892
579,24.125000,30.125000,0.491856,0.406237
580,24.166667,30.166667,0.400787,0.019931
